Price,index,Close,High,Low,Open,Volume,MA_10,MA_30,Daily_Return
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
Date,,,,,,,,,
2023-11-21,965,1180.7109375,1185.227556641674,1171.4296571663483,1174.3083747965666,8214450,1161.4386474609375,1150.9777587890626,0.012577785436250544
2023-11-22,966,1185.326904296875,1188.4289448727575,1177.3856804226161,1178.7754188353035,8534814,1164.6349975585938,1152.4659138997397,0.003909480847741342
2023-11-23,967,1188.9500732421875,1191.1835423841578,1185.3268657327444,1185.3268657327444,8531542,1167.593115234375,1153.9069173177083,0.0030566832931728793
2023-11-24,968,1188.1558837890625,1192.474021001291,1186.7414260587238,1187.0144298509326,6749486,1171.7299926757812,1154.7151000976562,-0.0006679754440481744
2023-11-28,969,1188.404052734375,1191.034607263244,1178.899449291774,1188.1558894990753,13792174,1175.6757934570312,1155.459590657552,0.00020886901180094952
2023-11-29,970,1191.5308837890625,1197.1145563492605,1190.2156671664848,1195.1540911072586,12531306,1179.9491577148438,1156.3099568684895,0.0026311177982716316
2023-11-30,971,1179.9913330078125,1191.530923348677,1176.2440439527552,1188.5529645510346,28439984,1180.9914428710938,1156.8625325520834,-0.00968464262088975
2023-12-01,972,1188.3544921875,1189.3967050711567,1180.0658643673892,1180.2643464861462,14342842,1182.6591064453125,1157.5085856119792,0.007087475090490347
2023-12-04,973,1201.209228515625,1215.9997806950958,1190.4886500919326,1215.9997806950958,15590990,1185.8678466796875,1159.1001342773438,0.010817257318952223
2023-12-05,974,1209.9197998046875,1211.4584602643838,1201.9288955146308,1210.540207865299,12693624,1190.2553588867188,1161.2773518880208,0.007251502138246435
2023-12-06,975,1221.5091552734375,1227.3905513904704,1208.5549856031337,1214.560584514323,16422442,1194.3351806640626,1163.9575154622396,0.009578614607861358
2023-12-07,976,1219.4990234375,1221.4346482742724,1212.0292855470004,1220.9631623446442,8142096,1197.752392578125,1167.1646118164062,-0.0016456134014709578
2023-12-08,977,1218.853759765625,1229.251775342433,1213.5182500771466,1222.874052744466,10204894,1200.7427612304687,1170.437060546875,-0.0005291219258676261
2023-12-11,978,1220.6405029296875,1224.7351961410227,1217.1909371644088,1218.9777608532804,7066138,1203.9912231445312,1174.2893798828125,0.0014659208701182092
2023-12-12,979,1203.1202392578125,1223.41994400905,1201.1844932637518,1220.9631521449135,9197124,1205.462841796875,1176.9075032552084,-0.014353336326153543
2023-12-13,980,1208.03369140625,1210.2176004047437,1194.3103140708777,1202.102614795848,10031182,1207.1131225585937,1178.916796875,0.004083924439230335
2023-12-14,981,1223.0228271484375,1228.3831772791464,1212.3518080035872,1217.9851619285064,16972354,1211.4162719726562,1181.83271484375,0.012407878893459401
2023-12-15,982,1238.6324462890625,1240.8162343922088,1225.951280138882,1229.8970515295573,15932152,1216.4440673828126,1185.1117838541666,0.012763146193288888
2023-12-18,983,1251.239013671875,1258.1379030406688,1236.3243792186838,1238.6323699765335,14165188,1221.4470458984374,1188.4338623046874,0.010177811360086553
2023-12-19,984,1269.6527099609375,1277.4945707453207,1253.3234974409622,1268.1140495332209,16820604,1227.4203369140625,1192.3780029296875,0.01471637000434134
2023-12-20,985,1254.2913818359375,1289.8780864366483,1250.7426960684581,1276.080186427869,17736722,1230.6985595703125,1195.4907958984375,-0.012098842466514048
2023-12-21,986,1271.8614501953125,1277.2962009364337,1249.8741628164655,1254.2170195322976,13765454,1235.9348022460938,1199.4407307942708,0.014007963870131368
2023-12-22,987,1273.1021728515625,1280.968874306117,1264.4660199985942,1270.3972179591544,16541784,1241.3596435546874,1203.2318400065103,0.0009755171493399661
2023-12-26,988,1279.554443359375,1286.453332624264,1271.935783794956,1274.5663382448713,7465664,1247.2510375976562,1207.6574178059896,0.005068148217326707
2023-12-27,989,1283.922119140625,1290.3990823415181,1277.0976304877347,1281.514887400953,9204156,1255.3312255859375,1212.156620279948,0.0034134348904943934
2023-12-28,990,1293.203369140625,1296.4046504171113,1283.9220890250845,1285.3862277761266,12302636,1263.848193359375,1216.9701578776042,0.007228826314022996
2023-12-29,991,1282.9791259765625,1297.397434632089,1280.174929799553,1295.9581362918193,10864584,1269.8438232421875,1220.7505126953124,-0.007906137122776657
2024-01-01,992,1285.6097412109375,1293.8488097378856,1277.1225094292433,1280.7953983035607,4030540,1274.541552734375,1224.5482421875,0.0020503959738025213
2024-01-02,993,1296.255859375,1297.8937610136477,1277.0480485996618,1283.0039664322292,7448800,1279.0432373046874,1228.786043294271,0.008280987474499568
2024-01-03,994,1282.16015625,1307.3238832997818,1279.132516403198,1295.412048372221,9037536,1280.2939819335938,1232.6565592447917,-0.010874167335911844
2024-01-04,995,1288.7860107421875,1295.337616733607,1280.0755785995668,1284.4928354763001,9612778,1283.7434448242188,1236.2590616861978,0.005167727650784659
2024-01-05,996,1294.2705078125,1300.3009471094986,1289.456165302221,1291.8881165287519,8086406,1285.9843505859376,1239.8905151367187,0.004255552919257832
2024-01-08,997,1284.17041015625,1306.3064992127524,1275.0379299096924,1295.412156841061,7734652,1287.0911743164063,1243.0645263671875,-0.007803699145799592
2024-01-09,998,1280.7703857421875,1293.8237954235035,1279.132484246134,1290.4487513775189,5403074,1287.2127685546875,1246.1516764322917,-0.002647642701601227
2024-01-10,999,1315.3148193359375,1319.7320764251056,1278.0654937339266,1279.0333061103788,11102740,1290.3520385742188,1250.3820353190104,0.02697160551048494
2024-01-11,1000,1349.9088134765625,1352.489686993197,1318.7394856296971,1319.7321386109766,23725852,1296.0225830078125,1255.6612996419271,0.026300923271046495
2024-01-12,1001,1360.6541748046875,1363.2350482099334,1335.8626919019084,1349.9087552154863,15012164,1303.790087890625,1261.6833943684896,0.007960064576844506
2024-01-15,1002,1383.8822021484375,1386.190071634762,1355.9638397810568,1364.8977157386187,8610594,1313.617333984375,1268.2009847005208,0.017071220427544942
2024-01-16,1003,1364.5255126953125,1386.0413130880693,1360.4308194226976,1379.7627106993223,9069024,1320.4442993164062,1273.6448608398437,-0.013987237803242403
2024-01-17,1004,1351.5714111328125,1376.0900120502974,1345.0696069219948,1349.5117047016763,12197382,1327.3854248046875,1278.366581217448,-0.009493484322555479
2024-01-18,1005,1357.8995361328125,1360.92717605878,1341.3222805612156,1341.4712027363942,10279438,1334.29677734375,1282.9129272460937,0.004682050055125231
2024-01-19,1006,1357.4031982421875,1365.890429247957,1349.015329468004,1365.890429247957,10422704,1340.6100463867188,1287.5097330729166,-0.00036551886013491686
2024-01-23,1007,1318.8138427734375,1361.6716823004633,1312.8332056966303,1361.6716823004633,20055420,1344.0743896484375,1290.8417358398438,-0.028428808417957585
2024-01-24,1008,1334.00146484375,1339.5851376107455,1314.1980872328543,1325.4149927095905,21919128,1349.3974975585938,1294.6204345703125,0.011516122729174016
2024-01-25,1009,1343.1337890625,1354.1274927557365,1325.390118278632,1333.0831783387705,11808872,1352.17939453125,1299.2875528971354,0.00684581273665974
2024-01-29,1010,1437.4111328125,1441.8283899094502,1350.1817560391485,1354.474931519067,23893438,1360.9296264648438,1306.933467610677,0.07019207209119882
2024-01-30,1011,1397.2830810546875,1449.2484377227322,1394.1066401470152,1449.2235971647833,14093978,1364.5925170898438,1312.7421427408854,-0.02791689228070482
2024-01-31,1012,1416.1434326171875,1423.7124109217216,1392.1956815880876,1393.6846609266845,15130226,1367.8186401367188,1318.6591756184896,0.013497874423745282
2024-02-01,1013,1416.1683349609375,1432.745590517861,1407.631543948549,1424.4569627393994,13349362,1372.9829223632812,1324.1568196614583,1.758461973300207e-05
2024-02-02,1014,1446.990234375,1464.0639387350582,1422.6455164089482,1422.6455164089482,19652588,1382.5248046875,1330.0680704752604,0.021764290764849425
2024-02-05,1015,1428.452392578125,1459.6961190035063,1421.007495677393,1450.0177530325548,8814432,1389.5800903320312,1335.8734375,-0.01281131092421095
2024-02-06,1016,1417.3099365234375,1431.256637826339,1409.3934322746634,1431.256637826339,9047984,1395.5707641601562,1340.7217203776042,-0.007800369205568813
2024-02-07,1017,1431.554443359375,1438.8504181404362,1418.7491963623445,1425.3752031215413,9296568,1406.84482421875,1346.0034627278646,0.01005038239615974
2024-02-08,1018,1439.4708251953125,1448.752105824393,1417.0368932886952,1439.3467435794867,14694634,1417.3917602539063,1351.3340087890624,0.005529920201540195
2024-02-09,1019,1450.0177001953125,1461.1602045826953,1440.2896534634558,1443.31729322881,12556798,1428.0801513671875,1356.8705281575521,0.007326911261691604
2024-02-12,1020,1441.679443359375,1450.2659153474917,1431.7529141646626,1450.017752117624,6674430,1428.506982421875,1361.8197306315103,-0.005750451759874653
2024-02-13,1021,1454.335693359375,1468.1335924657844,1443.3172707540573,1444.806250056761,7715594,1434.2122436523437,1367.5316162109375,0.0087788239322526
2024-02-14,1022,1470.4912109375,1472.749520552248,1446.7916226083244,1446.7916226083244,7117888,1439.647021484375,1373.6943318684896,0.011108520303732217
2024-02-15,1023,1459.79541015625,1473.8166331337911,1455.7503978374216,1472.4517353218182,10006782,1444.0097290039062,1379.1456502278645,-0.0072736244199861355
2024-02-16,1024,1449.843994140625,1466.1483668657747,1447.8339689108675,1465.6271998466532,9767498,1444.2951049804688,1384.7351114908854,-0.006816993632388413
2024-02-19,1025,1463.17041015625,1468.6300012389227,1442.8458657695369,1451.3082561823699,6729828,1447.7669067382812,1390.5479248046875,0.009191620663659084
2024-02-20,1026,1460.21728515625,1464.659382736365,1451.0600862084646,1464.1878968342883,7117496,1452.0576416015624,1396.079484049479,-0.0020183055777382997
2024-02-21,1027,1456.916748046875,1477.5888193115914,1446.8414171157522,1463.170510366537,12720292,1454.5938720703125,1401.8376953125,-0.0022603054647595267
2024-02-22,1028,1470.863525390625,1474.0399663973683,1447.2880175600008,1457.36346935178,18493728,1457.7331420898438,1408.1741333007812,0.009572803224650261
2024-02-23,1029,1482.6512451171875,1486.5474563697878,1472.4517119404402,1478.556551746289,14438584,1460.9964965820313,1413.7520141601562,0.008014149187248298
2024-02-26,1030,1476.3974609375,1483.5446346905887,1471.607959051116,1482.5768223248915,7513106,1464.4682983398438,1417.9683024088542,-0.004217973849401924
2024-02-27,1031,1474.73486328125,1488.9297276070065,1467.1907251784094,1472.1291493159843,10826044,1466.5082153320313,1421.7709920247396,-0.001126117932493731
2024-02-28,1032,1444.930419921875,1480.3185210789975,1439.5205099276588,1472.1042938560004,8647950,1463.9521362304688,1423.8059326171874,-0.020210035106284052
2024-02-29,1033,1450.0675048828125,1468.1088998815815,1443.8385832706604,1454.2365988812116,23628976,1462.979345703125,1426.657332356771,0.0035552472908801924
2024-03-01,1034,1481.1622314453125,1488.979373154373,1451.7548888255137,1452.7475417409498,12132926,1466.1111694335937,1430.9770263671876,0.021443640697963895
2024-03-04,1035,1496.3250732421875,1501.337897909408,1476.2982516112518,1479.5243736818861,10024420,1469.4266357421875,1435.5912109375,0.010237124249434348
2024-03-05,1036,1489.177978515625,1496.3251528023525,1475.1320355384912,1494.712091681268,7107668,1472.322705078125,1439.9837036132812,-0.004776431842498208
2024-03-06,1037,1491.957275390625,1497.9131926576536,1467.6372798835923,1482.4773919378927,7805676,1475.8267578125,1445.7551513671874,0.0018663295556990978
2024-03-07,1038,1468.059326171875,1492.056638756749,1464.7091224345347,1491.9325571368477,8315726,1475.546337890625,1450.2237467447917,-0.016017850921698162
2024-03-11,1039,1455.8248291015625,1478.060279979328,1452.747629113329,1478.060279979328,11277130,1472.8636962890625,1453.9801147460937,-0.008333789276905645
2024-03-12,1040,1464.5849609375,1477.0675227494196,1454.261346490045,1455.8247263461558,9432678,1471.6824462890625,1454.8859090169271,0.006017298002358951
2024-03-13,1041,1421.6527099609375,1472.2034859914554,1417.2850129833478,1468.9029635812572,13522134,1466.3742309570312,1455.6982299804688,-0.029313595401854298
2024-03-14,1042,1420.957763671875,1437.8825438227764,1415.0266869213976,1429.1223094125826,18571102,1463.9769653320313,1455.8587076822917,-0.0004888298556977588
2024-03-15,1043,1407.80517578125,1422.694969713975,1402.5193474045138,1415.4733954219128,19223818,1459.750732421875,1455.5799357096355,-0.009256142741806528
2024-03-18,1044,1428.899169921875,1431.1326391984185,1406.1178317705178,1409.56727675182,9169392,1454.5244262695312,1454.9769002278647,0.014983603202708196
2024-03-19,1045,1414.778564453125,1427.0378036957165,1406.8373411480031,1418.252849649116,8275764,1446.369775390625,1454.5211059570313,-0.009882156674163367
2024-03-20,1046,1433.1427001953125,1434.3835163859578,1413.562644941621,1417.4587350761735,8488806,1440.7662475585937,1455.0488647460938,0.012980219098305268
2024-03-21,1047,1440.3145751953125,1447.1887452733042,1434.060934378195,1441.8532357214951,13006936,1435.6019775390625,1455.340869140625,0.0050042992920542595
2024-03-22,1048,1444.3348388671875,1449.2732629085037,1436.716179238339,1439.321893152815,19527608,1433.2295288085938,1455.5030029296875,0.0027912400118077496
2024-03-26,1049,1430.983642578125,1441.7291835759677,1428.4276096750873,1434.3835274360674,11415906,1430.74541015625,1454.868534342448,-0.009243837322053361
2024-03-27,1050,1481.8818359375,1488.979328303771,1436.368725370371,1437.3613782559069,16326644,1432.47509765625,1456.208614095052,0.03556867587086776
2024-03-28,1051,1474.933349609375,1494.8856495085238,1467.786296896486,1481.90676076149,21854364,1437.8031616210938,1456.8952026367188,-0.004688961130108638
2024-04-01,1052,1473.8662109375,1482.9985690062601,1471.60790139039,1481.5095896793896,5013880,1443.0940063476562,1457.0077026367187,-0.0007235165386677567
2024-04-02,1053,1476.025146484375,1483.0233977342266,1464.1629930776332,1473.0968689675985,8910166,1449.9160034179688,1457.5486938476563,0.001464811073660366
2024-04-03,1054,1460.7880859375,1473.5436523631188,1458.1079713887636,1471.186101560143,7008292,1453.1048950195313,1457.9134969075521,-0.010323035879955644
2024-04-04,1055,1452.1767578125,1468.8780939901114,1439.3466709144527,1468.8780939901114,14490272,1456.8447143554688,1457.5470418294271,-0.005894987923230066
